layer	Ms	Ku	Kdir	J	J2	alpha	N	th	AMR	SMR	AHE	Rx0	Ry0	w	l	p	h_dl	h_fl	Hoe	Hoedir
1	1.6	1150.0	[1.0, 0.0, 0.0]	-0.00175	-1.62e-05	0.02	[0.00116298, 0.000227086, 0.99861]	4e-09	-0.02	-0.25	-2.3	100.0	120.0	20.0	30.0	[0.0, 0.0, 0.0]	0.0	0.0	1250.0	[0, 1, 0]
2	1.6	1150.0	[1.0, 0.0, 0.0]	-0.00175	0.0	0.02	[0.00116298, 0.000227086, 0.99861]	4e-09	-0.02	-0.25	-2.3	100.0	120.0	20.0	30.0	[0.0, 0.0, 0.0]	0.0	0.0	-1250.0	[0, 1, 0]
